Id Label Weight
真长老 真长老 11
文殊寺 文殊寺 1
钟楼 钟楼 5
通一泓 通一泓 1
老僧 老僧 17
宝殿 宝殿 4
金佛 金佛 1
宝塔 宝塔 8
丹霄 丹霄 1
何足 何足 2
鲁名达 鲁名达 2
玉成 玉成 1
光辉 光辉 10
金芽 金芽 1
檀越 檀越 2
应天星 应天星 5
掌作礼 掌作礼 2
宣疏 宣疏 1
灵光 灵光 1
归依 归依 2
智深 智深 51
都寺 都寺 4
师兄 师兄 46
丛林 丛林 4
托大 托大 4
智深见 智深见 9
丛林中 丛林中 1
虞姬 虞姬 1
蓬元帅 蓬元帅 1
花和尚 花和尚 35
但凡 但凡 21
扶智深 扶智深 1
容恕 容恕 1
冷笑 冷笑 27
武夫 武夫 2
金瓯 金瓯 1
玉皇 玉皇 2
东君 东君 2
云光宅 云光宅 1
紫云 紫云 2
关王 关王 1
桑麻 桑麻 1
宾客 宾客 3
布青帘 布青帘 1
智深猛 智深猛 1
白吃 白吃 7
关了门 关了门 3
金刚 金刚 25
那金刚 那金刚 2
张见道 张见道 1
张开 张开 12
醉汉 醉汉 1
满堂 满堂 3
雷鸣 雷鸣 3
凌云志 凌云志 4
海双晴 海双晴 1
白银 白银 16
赵檀越 赵檀越 1
小霸王 小霸王 13
大相国寺 大相国寺 11
智清禅师 智清禅师 4
春冰 春冰 1
山明水秀 山明水秀 2
杨影 杨影 1
归林 归林 1
红杏村 红杏村 1
牛羊 牛羊 10
红霞 红霞 7
小僧 小僧 30
庄里 庄里 16
罗衫 罗衫 4
龙君 龙君 9
刘太公 刘太公 33
庄客取 庄客取 4
那庄客 那庄客 6
招夫 招夫 1
方得 方得 5
红锦为 红锦为 1
庄上来 庄上来 20
齐道 齐道 5
贺新郎 贺新郎 1
红绿 红绿 2
罗帛 罗帛 1
齐声 齐声 12
贺道 贺道 2
绿杨树 绿杨树 6
老公 老公 11
马背上 马背上 2
周通 周通 47
小寨 小寨 24
李忠笑 李忠笑 2
山前山后 山前山后 6
包里 包里 3
朴刀来 朴刀来 14
凯歌 凯歌 9
铃铎 铃铎 3
碧玉 碧玉 10
相国寺 相国寺 4
白云 白云 8
大松林 大松林 2
芦芽 芦芽 2
雪岭 雪岭 1
荆棘 荆棘 5
燕子 燕子 2
老和尚 老和尚 27
小乙 小乙 13
绿林中 绿林中 7
智深正 智深正 3
杓子 杓子 3
粟米 粟米 1
子里 子里 2
布衫 布衫 23
丘小乙 丘小乙 5
那道人 那道人 3
听小僧 听小僧 1
田庄 田庄 1
敬礼 敬礼 1
崔道成 崔道成 12
梁武 梁武 2
老龙 老龙 2
朱砂 朱砂 5
姓甚名谁 姓甚名谁 14
智深笑 智深笑 2
那斯 那斯 2
战吕布 战吕布 1
云霄 云霄 7
毛焦 毛焦 1
梁园 梁园 2
卓氏 卓氏 2
朱翠 朱翠 1
金玉 金玉 3
相庆 相庆 1
富贵荣华 富贵荣华 1
花街柳陌 花街柳陌 1
呼卢 呼卢 2
公子王孙 公子王孙 5
蓬莱 蓬莱 7
高耸 高耸 3
龙鳞瓦 龙鳞瓦 1
森立 森立 1
高悬 高悬 9
师真长老 师真长老 2
智真 智真 2
岳庙 岳庙 3
管阁 管阁 1
管东 管东 1
白虎堂 白虎堂 2
何劳 何劳 4
张三 张三 24
宇里 宇里 2
张三恰 张三恰 1
白玉 白玉 7
连珠 连珠 7
林冲 林冲 660
今尊林 今尊林 1
林冲别 林冲别 2
和锦儿 和锦儿 1
林冲娘子 林冲娘子 5
阿叔 阿叔 13
高三 高三 1
林冲见 林冲见 16
荆妇 荆妇 1
智深醉 智深醉 2
阿嫂 阿嫂 17
